Book ID,Member ID,Checkout Date,Return Date,Reservation Date,Reservation ID
1,1000,-,-,-,-
2,1000,-,-,-,-
3,1000,-,-,-,-
4,1000,-,-,-,-
5,1000,-,-,-,-
6,1000,-,-,-,-
7,1000,-,-,-,-
8,1000,-,-,-,-
9,1000,-,-,-,-
10,1000,-,-,-,-
11,1000,-,-,-,-
12,1000,-,-,-,-
13,1000,-,-,-,-
14,1000,-,-,-,-
15,1000,-,-,-,-
16,1000,-,-,-,-
17,1000,-,-,-,-
18,1000,-,-,-,-
19,1000,-,-,-,-
20,1000,-,-,-,-
21,1000,-,-,-,-
22,1000,-,-,-,-
23,1000,-,-,-,-
24,1000,-,-,-,-
8,1244,04/12/2021,18/12/2021,-,-
18,9873,04/12/2021,18/12/2021,-,-
2,5431,09/12/2021,23/12/2021,-,-
5,1356,09/12/2021,23/12/2021,-,-
13,3815,09/12/2021,23/12/2021,-,-
17,3815,09/12/2021,23/12/2021,-,-
2,5431,-,-,-,-
8,1244,-,-,-,-
10,1244,16/12/2021,30/12/2021,-,-
3,7653,17/12/2021,31/12/2021,-,-
5,1356,-,-,-,-
17,3815,-,-,-,-
18,9873,-,-,-,-
13,3815,09/12/2021,23/12/2021,25/12/2021,1435
13,3815,-,-,25/12/2021,1435
13,1435,25/12/2021,08/01/2022,-,-
6,8323,25/12/2021,08/01/2022,-,-
21,8323,25/12/2021,08/01/2022,-,-
23,8323,25/12/2021,08/01/2022,-,-
10,1244,-,-,-,-
3,7653,-,-,-,-
11,3974,27/12/2021,10/01/2022,-,-
11,3974,27/12/2021,10/01/2022,12/01/2022,1830
11,3974,-,-,12/01/2022,1830
21,8323,-,-,-,-
23,8323,-,-,-,-
6,8323,-,-,-,-
13,1435,-,-,-,-
21,3531,31/12/2021,14/01/2022,-,-
17,1111,31/12/2021,14/01/2022,-,-
2,1641,08/01/2022,22/01/2022,-,-
9,1948,08/01/2022,22/01/2022,-,-
10,2905,08/01/2022,22/01/2022,-,-
19,3497,08/01/2022,22/01/2022,-,-
20,9159,08/01/2022,22/01/2022,-,-
24,1386,08/01/2022,22/01/2022,-,-
13,2222,11/01/2022,25/01/2022,-,-
14,2222,11/01/2022,25/01/2022,-,-
15,2222,11/01/2022,25/01/2022,-,-
16,2222,11/01/2022,25/01/2022,-,-
17,1111,31/12/2021,14/01/2022,16/01/2022,2222
17,1111,-,-,16/01/2022,2222
2,1641,08/01/2022,22/01/2022,24/01/2022,1847
4,9873,29/12/2021,12/01/2022,-,-
11,1830,12/01/2022,26/01/2022,-,-
